order_id,date,model,brand,release_year,price,region,customer_review,ram,storage,color
ORD1201,2024-11-15,Galaxy A35,Samsung,2024,329,Europe,Camera is decent for the price but performance can be sluggish with multiple apps. Battery lasts all day which is great.,6,128,Phantom Black
ORD1202,2024-03-22,iPhone 15,Apple,2023,649,North America,Love the reliability and excellent camera but battery life could be better. Face ID works perfectly though.,6,128,Pink
ORD1203,2024-09-08,GT 5 Pro,Realme,2024,449,Asia,Fast charging is amazing - 0 to 100% in 30 minutes! Camera quality is good but low light performance could be better.,8,256,Blue
ORD1204,2024-01-17,Y100,Vivo,2024,249,Africa,Good value for money with decent camera. Performance is smooth for basic tasks but gaming can be laggy.,4,128,Gold
ORD1205,2024-12-03,Magic 6 Pro,Honor,2024,749,Europe,Premium build quality and excellent display. Magic OS is improving but still not as polished as Samsung's One UI.,8,256,Silver
ORD1206,2024-04-11,Galaxy S24 FE,Samsung,2024,699,Oceania,Solid performance and great camera but feels like a downgrade from flagship S24. One UI is fantastic though.,8,256,Phantom Silver
ORD1207,2024-08-29,Redmi Note 13,Xiaomi,2024,329,South America,Excellent battery life and decent camera for the price. MIUI has too many ads which is annoying.,6,128,Green
ORD1208,2024-06-14,Pixel 8a,Google,2024,549,North America,Pure Android experience is wonderful. Camera AI is impressive but phone can get warm during heavy usage.,8,256,Sage
ORD1209,2024-10-07,Edge 50,Motorola,2024,649,Asia,Clean Android with useful Moto gestures. Performance is good but camera struggles in low light compared to competitors.,8,256,Cosmic Black
ORD1210,2024-02-25,Find X7,Oppo,2024,899,Europe,Beautiful design and fast charging. ColorOS has improved significantly but camera app can be slow to launch.,12,512,Aurora
ORD1211,2024-07-16,iPhone 15 Pro,Apple,2023,899,North America,iOS features are great and camera quality is excellent. Price is high but build quality justifies it.,8,256,Natural Titanium
ORD1212,2024-05-03,Poco X6 Pro,Xiaomi,2024,549,Africa,Gaming performance is excellent with good cooling. POCO launcher is clean but phone feels plasticky.,8,256,Racing Blue
ORD1213,2024-11-28,Nova 12,Huawei,2024,459,Asia,Good camera system and premium feel. Limited Google services is still a major drawback for many users.,8,256,Pearl White
ORD1214,2024-03-09,GT 6,Realme,2024,599,South America,Excellent gaming phone with high refresh rate display. Design is attractive but software has occasional bugs.,8,256,Electric Yellow
ORD1215,2024-09-21,Galaxy Z Fold6,Samsung,2024,1999,Europe,Incredible multitasking capabilities and S Pen support. Expensive but truly replaces my laptop for work.,16,1024,Phantom Green
ORD1216,2024-01-06,V30,Vivo,2024,549,Oceania,Camera selfies are amazing and design is stylish. Performance is good but battery life could be better.,8,256,Sunset Orange
ORD1217,2024-12-18,Mate 60 Pro,Huawei,2023,899,Asia,Excellent build quality and camera system. Lack of Google Play Store is still frustrating for app availability.,12,512,Space Black
ORD1218,2024-04-27,C67,Realme,2024,229,Africa,Great budget phone with surprising camera quality. Performance is adequate but storage fills up quickly.,4,128,Dynamic Blue
ORD1219,2024-08-13,iPhone SE (2022),Apple,2022,499,North America,Perfect size for one-handed use and reliable iOS experience. Camera is decent but lacks night mode.,6,128,Product Red
ORD1220,2024-06-30,Edge 50 Pro,Motorola,2024,799,Europe,Premium Motorola with excellent display quality. Stock Android is great but camera processing needs improvement.,12,512,Vegan Leather
ORD1221,2024-10-22,Pixel Fold,Google,2023,1899,North America,Google's best foldable yet with pure Android. Expensive but multitasking experience is fantastic.,12,512,Obsidian
ORD1222,2024-02-14,14 Ultra,Xiaomi,2024,1099,Asia,Flagship performance with Leica cameras. MIUI is better than before but still has learning curve.,12,512,Ceramic White
ORD1223,2024-07-04,V29,Vivo,2024,399,South America,Good mid-range option with decent camera. FunTouch OS is improving but still feels bloated.,6,256,Cosmic Blue
ORD1224,2024-05-18,Magic V2,Honor,2023,1599,Europe,Impressive foldable with thin design when folded. MagicOS is smooth but app optimization needs work.,12,512,Titanium Silver
ORD1225,2024-11-11,Galaxy A55,Samsung,2024,399,Africa,Reliable Samsung with One UI goodness. Performance is decent but camera could be better in low light.,6,128,Awesome Blue
ORD1226,2024-03-26,Reno 11 Pro,Oppo,2024,549,Asia,Excellent portrait photography and fast charging. ColorOS is user-friendly but has some unnecessary features.,8,256,Starlight Gold
ORD1227,2024-09-17,iPhone 16 Pro,Apple,2024,1099,Oceania,Pro camera features are incredible and build quality is top-notch. Battery life has improved significantly.,12,512,Black Titanium
