order_id,date,model,brand,release_year,price,region,customer_review,ram,storage,color
ORD1000,2024-05-20,Oppo Find N2 Flip,Oppo,2023,899,Africa,Project account program yes item computer.,12,256,Silver
ORD1001,2025-01-03,Oppo Reno 13 Pro,Oppo,2025,499,South America,Defense offer large suffer together money picture back.,6,128,Silver
ORD1002,2024-06-30,Galaxy A36,Samsung,2025,349,Europe,College style black spend because card sell nothing here.,0,128,Phantom Black
ORD1003,2024-08-12,Xiaomi Mix Fold 4,Xiaomi,2024,1199,Asia,Without above thus gun win impact authority low customer big argue.,8,256,Yellow
ORD1004,2024-01-18,Vivo Y28,Vivo,2025,199,Africa,Service face thing effort citizen way both.,6,128,Orange
ORD1005,2025-04-04,Honor Magic 7 Pro,Honor,2025,899,Asia,Mission admit player show hand up.,8,256,Black
ORD1006,2025-06-01,Xiaomi Mix Fold 4,Xiaomi,2024,1199,South America,Institution hit sure our industry investment remain.,8,512,Yellow
ORD1007,2025-03-07,Realme 15T,Realme,2025,349,Africa,Place ten must possible research program dinner any budget according.,6,64,Blue
ORD1008,2025-07-19,Honor Magic 7 Pro,Honor,2025,899,Europe,Test might foot measure fund meeting challenge.,8,512,Black
ORD1009,2025-06-26,Pixel 10 Pro XL,Google,2025,1099,Africa,Social receive data rate music cup.,8,128,Obsidian
ORD1010,2024-08-21,iPhone 16,Apple,2024,799,Oceania,Collection learn expect cold unit itself environmental son read claim page.,8,256,Titanium White
ORD1011,2025-01-12,iPhone 16 Plus,Apple,2024,899,Oceania,Question home community institution accept image involve him police beat hair want.,8,128,Titanium Black
ORD1012,2024-07-25,,Apple,2024,699,Africa,Camera activity car paper north stage always detail blue adult.,6,128,Blue Titanium
ORD1013,2024-03-07,Huawei Enjoy 70,Huawei,2024,199,South America,Soon very size store summer soon time even truth.,6,128,Black
ORD1014,2025-04-08,Vivo Y28,Vivo,2025,199,Africa,Difficult management be generation you win ask yeah bag.,6,64,Black
ORD1015,2024-06-18,Realme P4 Pro,Realme,2025,399,Africa,Cup none would finish whatever full quite citizen probably prevent plant every security.,4,64,Blue
ORD1016,2024-09-09,Moto E14,Motorola,2025,149,Asia,Unit although daughter sort even others meeting something social best represent.,4,64,Black
ORD1017,2024-09-19,Motorola Edge 60,Motorola,2025,599,Africa,Identify his radio employee yes throw avoid mind morning include reveal heavy.,6,128,Peach Fuzz
ORD1018,2024-11-09,iPhone SE (2025),Apple,2025,429,Africa,Entire street road deep because issue quality total.,8,256,Titanium White
