order_id,date,model,brand,release_year,price,region,customer_review,ram,storage,color
ORD1000,2024-05-20,Find N2 Flip,Oppo,2023,899,Africa,Great foldable phone with smooth folding mechanism. Camera quality is excellent for social media.,12,256,Silver
ORD1001,2025-01-03,Reno 13 Pro,Oppo,2025,499,South America,Fast charging is amazing and the camera AI features work well in low light conditions.,8,128,Silver
ORD1002,2024-06-30,Galaxy A36,Samsung,2025,349,Europe,Good mid-range phone with decent performance. Battery lasts a full day with moderate usage.,6,128,Phantom Black
ORD1003,2024-08-12,Mix Fold 4,Xiaomi,2024,1199,Asia,The foldable display is impressive but feels fragile. MIUI can be overwhelming for new users.,12,256,Yellow
ORD1004,2024-01-18,Y28,Vivo,2024,199,Africa,Budget phone with surprising camera quality. Performance is adequate for basic tasks.,4,128,Orange
ORD1005,2025-04-04,Magic 7 Pro,Honor,2025,899,Asia,Excellent flagship with great build quality. The Magic OS is smooth and responsive.,12,256,Black
ORD1006,2025-06-01,Mix Fold 4,Xiaomi,2024,1199,South America,Multitasking on the large screen is fantastic. Gaming performance is top-notch.,12,512,Yellow
ORD1007,2025-03-07,15T,Realme,2025,349,Africa,Solid mid-range device with fast charging. UI could be more polished but overall good value.,6,128,Blue
ORD1008,2025-07-19,Magic 7 Pro,Honor,2025,899,Europe,Camera system rivals iPhone quality. Battery optimization is excellent.,12,512,Black
ORD1009,2025-06-26,Pixel 10 Pro XL,Google,2025,1099,Africa,Pure Android experience with incredible computational photography. Night mode is unmatched.,12,256,Obsidian
ORD1010,2024-08-21,iPhone 16,Apple,2024,799,Oceania,iOS 18 features are great. Battery life improved significantly from iPhone 15.,8,256,Titanium White
ORD1011,2025-01-12,iPhone 16 Plus,Apple,2024,899,Oceania,Large screen is perfect for media consumption. Face ID works flawlessly in all conditions.,8,256,Titanium Black
ORD1012,2024-07-25,iPhone 15,Apple,2023,699,Africa,Reliable iPhone experience. USB-C is finally here and works great with all my accessories.,6,128,Blue Titanium
ORD1013,2024-03-07,Enjoy 70,Huawei,2024,199,South America,Basic smartphone that gets the job done. Camera struggles in low light but decent for the price.,4,128,Black
ORD1014,2025-04-08,Y28,Vivo,2024,199,Africa,Good entry-level phone with clean UI. Performance is smooth for social media and calls.,4,128,Black
ORD1015,2024-06-18,P4 Pro,Realme,2025,399,Africa,Fast performance for gaming and multitasking. Design feels premium for the price point.,6,128,Blue
ORD1016,2024-09-09,E14,Motorola,2025,149,Asia,Ultra-budget phone with basic functionality. Good for elderly users or as backup device.,3,64,Black
